            实际        估算       实际面积   估算面积
2_8         2654        2895       2857.96    3117.48  
2_15        2745        2829       2955.95    3046.41 
2_6         4044        4006       4354.79    4313.87
2_17        1548        1613       1666.96    1736.96
2_13        2648        2723       2851.50    2931.26
2_11        4321        4540       4652.07    4888,90      
9_13        2736        2709       2946.26    2917.19
9_4         1004        1069       1081.15    1151.15
1_5         8041        8120       8658.96    8744.04
1_2         5230        6499       5631.93    6998.46
3_3         5123        5658       5516.71    6092.83
3_5         5846        5761       6295.27    6203.74
4_2         9293        8869       10007.18   9550.60
5_27        2364        2501       2545.67    2693.20
*11_4        4562        4901       4912.60    5277.65

1            2857.96       3117.48      259.52         91.67%

2            2955.95       3046.41      90.46          97.03%

3            4354.79       4313.87      39.92          99.06%

4            1666.96       1736.96      70.00          95.96%

5            2851.50       2931.26      79.76          97.27%

6            4652.07       4888.90      236.83         95.15%

7            2946.26       2917.19      29.07          99.01%

8            1081.15       1151.15      70.00          93.91%

9            8658.96       8744.04      85.08          99.02%

10           5631.93       6998.46      1366.53        80.47%

11           5516.71       6092.83      576.12         90.43%

12           6295.27       6203.74      91.53          98.54%
 
13           10007.18      9550.60      456.58         95.43%

14           2545.67       2693.20      147.53         94.52%

15           4912.60       5277.65      365.05         93.08%

平均                                                   94.70%
