建筑物编号	      实际高度     阴影长度    估算高度   误差   准确率    

1            22.56           15.86      20.59      1.98   91.21%
2            22.56           17.34      22.50      0.05   99.74%    
3            22.56           15.03      19.50      3.05   86.64%
4            22.56           17.74      23.02      0.45   97.97%
5            22.56           16.21      21.03      1.53   93.22%
6            22.56           16.53      21.44      1.12   95.06%
7            22.56           15.55      20.17      2.39   89.41%
8            22.56           16.03      20.81      1.75   92.24%
9            22.56           15.97      20.71      1.85   91.82%
10           22.56           17.81      23.11      0.55   97.55% 
11           22.56           17.86      23.17      0.61   97.29%
12           22.56           18.76      24.34      1.78   92.13%
13           22.56           16.10      20.88      1.68   92.56%
14           22.56           16.30      21.15      1.41   93.75%      
平均                                                     93.62%
